Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684219062.0765793,25920,3136,39744
1684219062.1265872,22272,768,48384
1684219062.176585,21824,2432,49600
1684219062.2265794,25472,4992,48192
1684219062.27658,21696,768,48768
1684219062.3265836,21696,768,50560
1684219062.3765833,21696,960,51136
1684219062.426579,20672,704,51264
1684219062.4765813,21376,1024,48064
1684219062.5265915,21504,5248,51712
1684219062.576584,20288,16000,50560
1684219062.626605,25216,30848,37760
1684219062.6765783,21184,34048,49024
1684219062.7265866,21888,33984,51520
1684219062.7765841,21440,40576,52224
1684219062.8265958,21440,47680,47872
1684219062.8765967,25728,52160,40704
1684219062.926588,32960,54336,51328
1684219062.976583,21120,58880,51200
1684219063.0265763,25600,60416,51200
1684219063.0765772,21824,60864,50112
1684219063.126583,38528,65408,41792
1684219063.1765823,21760,59776,52288
1684219063.2265782,21760,57408,53120
1684219063.2765787,21824,53248,50688
1684219063.326579,24896,57792,42688
1684219063.3765798,21440,51456,52672
1684219063.4265783,25792,51520,51264
1684219063.4766066,20544,44096,42944
1684219063.5266097,21824,37184,52160
1684219063.576583,25472,41216,49920
1684219063.626576,21824,45056,48704
1684219063.6766293,25728,55424,52224
1684219063.7265823,20672,45056,50944
1684219063.7766325,21696,40448,51072
1684219063.8265846,21760,39552,49984
1684219063.876586,20544,36544,50048
1684219063.9265845,21696,26304,48512
1684219063.9765809,24704,16064,39104
1684219064.026581,21696,2432,50496
1684219064.0765784,22144,832,52480
1684219064.1265793,22080,832,40576
1684219064.1765778,22208,832,49088
1684219064.2265794,21824,768,53184
1684219064.2765737,22208,768,51200
1684219064.3265803,22080,768,49280
1684219064.3765788,25984,2560,38272
1684219064.4265778,22080,1088,51136
1684219064.476577,22144,704,50304
1684219064.5265818,21120,5184,50368
1684219064.57658,22080,704,49856
1684219064.626601,20736,5952,50816
1684219064.6765773,22272,896,50240
1684219064.7265778,22080,768,50368
1684219064.7765787,21376,3200,49280
1684219064.826578,21760,768,49664
1684219064.8765862,21760,704,49856
1684219064.9265857,21824,768,51584
1684219064.976592,21888,768,49216
1684219065.026582,21696,1408,49088
1684219065.0765843,25600,5312,40768
1684219065.1265786,21760,768,49600
1684219065.1765792,20608,4800,51776
1684219065.2265766,21888,1152,49152
1684219065.276599,20288,4800,48576
1684219065.3265753,21824,1152,51712
1684219065.3766437,25600,5504,41408
1684219065.4265854,20224,5952,51648
1684219065.4765766,25536,768,47488
1684219065.5265868,21376,3264,48896
1684219065.5765975,21760,4480,40192
1684219065.626585,21888,4992,49152
1684219065.6765792,21888,768,49920
1684219065.726577,21824,960,48448
1684219065.776578,21952,768,49152
1684219065.8265784,21184,4416,50944
1684219065.8765826,22208,4864,41152
1684219065.926581,22336,768,48384
1684219065.9765797,22336,1152,48896
1684219066.0265784,22272,4992,52224
1684219066.0765758,21120,6400,49664
1684219066.1265738,22144,832,54912
1684219066.176578,21824,2816,47744
1684219066.2265995,22272,704,49920
1684219066.2765753,22336,896,45760
1684219066.3265736,22272,4544,44032
1684219066.3765786,22528,768,49792
1684219066.4265738,22592,768,52352
1684219066.4765759,21760,10816,52352
1684219066.526596,22464,960,51584
1684219066.5765848,30912,5248,41088
1684219066.626577,22592,4416,51136
1684219066.676576,26304,832,52800
1684219066.726582,21120,5696,52608
1684219066.7765794,26048,4544,40512
1684219066.8265758,25664,1024,38144
1684219066.8765821,22528,704,50560
1684219066.9265845,22080,768,52480
1684219066.9766035,25856,5120,34752
1684219067.026574,22080,832,48832
1684219067.0765743,22144,1024,52992
1684219067.126573,21696,1408,50816
1684219067.1765778,22080,1024,51392
1684219067.2265763,21760,768,50944
1684219067.276574,21888,4800,48640
1684219067.3265717,21696,1088,50368
1684219067.3765762,20608,7808,39040
1684219067.4265747,21696,960,51648
1684219067.4765744,21696,768,49728
1684219067.5265744,24768,4160,40384
1684219067.576578,21696,768,50496
1684219067.6265757,21760,1600,53376
1684219067.6765745,21504,768,54144
1684219067.7265759,21824,768,49024
1684219067.7765765,21440,960,52096
1684219067.8265831,21696,960,48512
1684219067.8765962,21760,704,48576
1684219067.9265828,20800,4800,49792
1684219067.97658,21952,896,49344
1684219068.0265746,20608,2880,48704
1684219068.0765758,21696,5184,53888
1684219068.1265972,21760,832,49600
1684219068.176576,21120,24768,50368
1684219068.2265937,21760,41984,49408
1684219068.2765732,22144,47744,49280
1684219068.326571,21184,51136,49024
1684219068.3765786,22208,43520,48640
1684219068.426573,22528,46976,52352
1684219068.476574,26368,52544,40000
1684219068.5265758,22528,48576,49856
1684219068.576576,22528,49728,52352
1684219068.6265743,23040,51200,54208
1684219068.6765742,22144,52544,52608
1684219068.7265706,22464,53696,48640
1684219068.776576,22656,54720,49536
1684219068.8265727,23296,57728,50240
1684219068.8765814,22272,51520,54464
1684219068.9265764,22336,52992,50176
1684219068.9765773,21440,61888,48960
1684219069.026577,22016,61824,47488
1684219069.0765743,20864,62208,51648
1684219069.1265695,22016,62336,50240
1684219069.1766,22080,61312,48896
1684219069.2265732,20416,55040,51712
1684219069.276572,25600,55232,51968
1684219069.32657,20352,47104,49216
1684219069.3765743,21888,42560,51328
1684219069.4265726,21760,5248,48640
1684219069.4765682,21440,768,49344
1684219069.5265718,21824,4544,54016
1684219069.5765767,21888,4480,48000
1684219069.6265745,21760,6848,53888
1684219069.6765718,21760,4480,51968
1684219069.72657,21824,960,49088
1684219069.776574,35136,4608,45632
1684219069.8265717,27264,8832,56064
1684219069.8765788,20736,5632,50240
1684219069.9265752,21824,832,51072
1684219069.9765751,25088,10240,39936
1684219070.026575,25920,1216,40640
1684219070.0765765,22400,960,50112
1684219070.126571,21376,1024,48960
1684219070.1765738,22208,704,40768
1684219070.2265937,25792,5248,39360
1684219070.2765698,22144,768,49344
1684219070.3265674,22080,768,54272
1684219070.3765867,21760,1600,48192
1684219070.4265761,22144,1024,51648
1684219070.476573,22144,768,50880
1684219070.5265706,20992,5184,54272
1684219070.5765717,22080,832,47616
1684219070.6265724,24896,9024,43904
1684219070.676572,22080,960,51648
1684219070.7265685,22144,768,52800
1684219070.7765737,24832,10624,54080
1684219070.8265696,22208,768,47808
1684219070.8765771,21760,2752,51520
1684219070.9265766,22016,5056,53824
1684219070.976602,22016,896,52480
1684219071.0265727,22144,832,48192
1684219071.076566,21760,960,51200
1684219071.126576,21760,704,50048
1684219071.1765738,24384,8256,45824
1684219071.2265708,21696,1152,51904
1684219071.2765706,20672,4864,48512
1684219071.3265676,21760,5376,54400
1684219071.376572,21696,768,52224
1684219071.4265704,20672,5952,51776
1684219071.4765732,22144,768,52032
1684219071.5266018,21888,2432,48768
1684219071.5765805,22208,832,52160
1684219071.6265674,22144,832,53248
1684219071.676562,22144,832,40448
1684219071.7265723,22720,896,49088
1684219071.7765746,22528,768,51264
1684219071.8265712,21760,2752,53184
1684219071.8765764,26496,1024,52224
1684219071.926576,21440,896,56832
1684219071.9765744,22528,3648,60096
1684219072.0265987,22464,768,62144
1684219072.0765698,21376,3968,64064
1684219072.1265705,23552,960,63680
1684219072.1765738,26048,832,62400
1684219072.2265713,28544,832,62400
1684219072.2765696,33728,5056,65472
1684219072.3265686,39872,1216,62528
1684219072.3765717,832,704,64128
1684219072.426569,768,960,61312
1684219072.4765694,6080,1152,64640
1684219072.5265791,768,4800,58688
1684219072.5765753,768,832,61952
1684219072.6265702,704,3968,64512
1684219072.6765738,768,704,65472
1684219072.7265697,768,7104,65472
1684219072.776573,2176,1152,65472
1684219072.8265784,896,768,63552
1684219072.8765886,1664,3648,63488
1684219072.9265754,4608,960,51904
1684219072.9765732,4736,8192,63488
1684219073.026566,832,832,62592
1684219073.076569,4672,4544,52608
1684219073.1265652,6912,960,51456
1684219073.1765704,4608,1216,54400
1684219073.2265694,8704,4864,54464
1684219073.2765903,768,832,62144
1684219073.326565,960,1152,64832
1684219073.3765957,832,3328,62656
1684219073.4265678,1536,1280,63680
1684219073.4765675,832,768,63424
1684219073.5265796,9088,7104,54592
1684219073.5765746,832,1088,65088
1684219073.6265695,832,4480,50560
1684219073.6765673,1216,1024,65024
1684219073.7265654,704,768,65472
1684219073.7765698,4544,9408,54272
1684219073.8265688,832,896,63936
1684219073.876582,768,2432,64000
1684219073.9265718,9792,4992,64640
1684219073.9765723,768,960,65088
1684219074.02657,2176,832,65472
1684219074.0765676,704,960,63424
1684219074.1265662,704,768,62592
1684219074.1765983,4160,1408,65152
1684219074.2265723,704,1216,62976
1684219074.2765708,704,768,62016
1684219074.326566,6400,5312,54080
1684219074.3765688,640,768,62208
1684219074.4265945,2240,5568,65152
1684219074.476571,704,5376,65472
1684219074.5266128,768,6080,61952
1684219074.5765724,832,1216,61824
1684219074.6265903,768,832,63488
1684219074.6765625,768,3200,65088
1684219074.726563,3136,960,63168
1684219074.776569,768,832,62400
1684219074.8265667,2240,704,63872
1684219074.8765745,832,1152,65472
1684219074.9265707,768,768,62656
1684219074.9765797,6912,1152,61440
1684219075.026572,768,832,62208
1684219075.0765696,5760,3648,63744
